BlockName,PropertyName,Type,DefaultValue,Documentation
Ovonic 3S LiPo Battery,fullyChargedVoltage,Real,12.6,3 x 4.2 V.
Ovonic 3S LiPo Battery,lowVoltageThreshold,Real,10.5,3.5 V/cell SAFE threshold.
Ovonic 3S LiPo Battery,criticalVoltageThreshold,Real,9.9,3.3 V/cell critical threshold.
Geeek Pi PD,role,String,RPi5 power expansion board.,
Geeek Pi PD,size,String,85 x 56 x 10,
Geeek Pi PD,mass,Real,30,
Geeek Pi PD,inputVoltage,Real,12,
Geeek Pi PD,typicalCurrent,Real,0.02,
Geeek Pi PD,typicalPower,Real,0.2,
Geeek Pi PD,outputVoltage,Real,5,
Geeek Pi PD,outputCurrentMax,Real,5,
Geeek Pi PD,outputPowerMax,Real,25,
Geeek Pi PD,physicalInterface,String,3.5mm DC Barrel Jack,
Voltage Regulator BB,role,String,Supplies 5V rail.,
Voltage Regulator BB,size,String,,
Voltage Regulator BB,mass,Real,,
Voltage Regulator BB,inputVoltage,Real,,
Voltage Regulator BB,typicalCurrent,Real,,
Voltage Regulator BB,typicalPower,Real,,
Voltage Regulator BB,outputVoltage,Real,,
Voltage Regulator BB,outputCurrentMax,Real,,
Voltage Regulator BB,outputPowerMax,Real,,
GS2678 Buck Converter,role,String,Supplies 5V rail.,
GS2678 Buck Converter,size,String,46 x 50 x 20,
GS2678 Buck Converter,mass,Real,100,
GS2678 Buck Converter,inputVoltage,Real,12,
GS2678 Buck Converter,typicalCurrent,Real,0.01,
GS2678 Buck Converter,typicalPower,Real,0.1,
GS2678 Buck Converter,outputVoltage,Real,5,
GS2678 Buck Converter,outputCurrentMax,Real,5,
GS2678 Buck Converter,outputPowerMax,Real,25,
GS2678 Buck Converter,physicalInterface,String,wire,
GS2678 Buck Converter,commInterface,String,analog,
Pololu D24V90F5 Regulator,role,String,Reserved 5 V actuator / treat-dispenser rail,"Explicitly reserved for future actuator headroom, not required by MVP."
Pololu D24V90F5 Regulator,size,String,40.6 x 20.3 x 7.6,
Pololu D24V90F5 Regulator,mass,Real,4.8,
Pololu D24V90F5 Regulator,inputVoltage,Real,12,Operating input range is 5-38 V. 
Pololu D24V90F5 Regulator,typicalCurrent,Real,0.05,
Pololu D24V90F5 Regulator,typicalPower,Real,0.2,
Pololu D24V90F5 Regulator,outputVoltage,Real,5,
Pololu D24V90F5 Regulator,outputCurrentMax,Real,9,
Pololu D24V90F5 Regulator,outputPowerMax,Real,45,
Powered Wheel BB,role,String,Provides traction.,
Powered Wheel BB,size,String,,
Powered Wheel BB,mass,Real,,
Powered Wheel BB,diameter,Real,,
Drive Wheel 68mm,role,String,Rubber wheels provide traction.,
Drive Wheel 68mm,size,String,68 x 20,
Drive Wheel 68mm,mass,Real,30,
Drive Wheel 68mm,diameter,Real,68,
Free Wheel BB,role,String,Rotating pivot wheel provides support.,
Free Wheel BB,size,String,,
Free Wheel BB,mass,Real,,
Free Wheel BB,diameter,Real,,
Caster Wheel,role,String,Rotating pivot wheel provides support.,
Caster Wheel,size,String,25 x 25,
Caster Wheel,mass,Real,60,
Caster Wheel,diameter,Real,15,
Wi-Fi Router BB,role,String,Provides dedicated local Wi-Fi network.,
Wi-Fi Router BB,size,String,,
Wi-Fi Router BB,mass,Real,,
Wi-Fi Router BB,physicalInterface,String,,
Wi-Fi Router BB,commInterface,String,,
Wi-Fi Router BB,wifiProtocol,String,,
Wi-Fi Router BB,wifiSpeed24ghz,Real,,
Wi-Fi Router BB,wifiSpeed5ghz,Real,,
Wi-Fi Router BB,ethernetSpeed,Real,,
Opal GLSFT 1200 Router,role,String,Provides dedicated local Wi-Fi network.,
Opal GLSFT 1200 Router,size,String,118 x 85 x 30,
Opal GLSFT 1200 Router,mass,Real,145,
Opal GLSFT 1200 Router,physicalInterface,String,LAN,
Opal GLSFT 1200 Router,commInterface,String,2.4 GHz Wi-Fi,
Opal GLSFT 1200 Router,wifiProtocol,String,IEEE 802.11a/b/g/n/ac,Dual-band Wi-Fi.
Opal GLSFT 1200 Router,wifiSpeed24ghz,Real,300,Maximum PHY rate.
Opal GLSFT 1200 Router,wifiSpeed5ghz,Real,867,Maximum PHY rate.
Opal GLSFT 1200 Router,ethernetSpeed,Real,1000,Gigabit Ethernet ports.
NVMe SSD 500GB,role,String,High-speed memory for AI models.,
NVMe SSD 500GB,size,String,80 x 22 x 2.38,
NVMe SSD 500GB,mass,Real,6.5,
NVMe SSD 500GB,physicalInterface,String,NVMe over M.2 Key-M,Jetson developer kit provides an M.2 Key-M slot; exact drive generation and power are unresolved.
NVMe SSD 500GB,commInterface,String,PCIe,
NVMe SSD 500GB,capacity,Integer,500,Repo specifies a 500 GB NVMe SSD with the Jetson but not the drive model/SKU.
Mini USB Hub,role,String,Provides USB expansion for RPi5.,
Mini USB Hub,size,String,80 x 10 x 10,
Mini USB Hub,mass,Real,20,
Mini USB Hub,physicalInterface,String,USB 3,
Mini USB Hub,commInterface,String,serial,
Mini USB Hub,ports,Integer,4,
Battery Sense Voltage Divider,role,String,Monitor LiPo voltage.,
Battery Sense Voltage Divider,dividerRatio,Real,5.7,Current measured value from testing; new resistors requires re-measurement; software assumes battery voltage is approximately six times ADC-node voltage.
Battery Sense Voltage Divider,arduinoAdcPin,String,A0,Sensor Nano reads the divider midpoint on A0.
Battery Sense Voltage Divider,batteryStreamRate,Real,5,Sensor Nano emits averaged raw ADC count at 5 Hz.
Battery Sense Voltage Divider,voltageReferenceEffective,Real,4.573,"Measured, actual voltage output from Sensor Nano 5V pin; new Nano requires re-measurement. "
