component,category,property,value,units,value_type,provenance,notes
DFRobot SEN0253,Sensor - Inertial,Operating Voltage Max,5.0,V,Real,Datasheet,
DFRobot SEN0253,Sensor - Inertial,Operating Current,5,mA,Real,Conflict,DFRobot board figure. LOWER than Bosch's 12.3 mA for the BNO055 alone - likely quoted for a low-power or non-fusion mode.
DFRobot SEN0253,Sensor - Inertial,Operating Current Planning Value,17.5,mA,Real,Estimated,"Conservative 15-20 mA at 5 V; midpoint used. Use this, not 5 mA, for battery-life calculations."
DFRobot SEN0253,Sensor - Inertial,Power Planning Value,87.5,mW,Real,Estimated,"17.5 mA x 5 V. Negligible next to the OAK-D Lite, so the conflict is low-risk."
DFRobot SEN0253,Sensor - Inertial,Length,32,mm,Real,Datasheet,
DFRobot SEN0253,Sensor - Inertial,Width,27,mm,Real,Datasheet,
DFRobot SEN0253,Sensor - Inertial,Operating Temperature Min,-40,degC,Real,Datasheet,Board level.
DFRobot SEN0253,Sensor - Inertial,Operating Temperature Max,80,degC,Real,Datasheet,Board level - narrower than the BNO055 die itself.
DFRobot SEN0253,Sensor - Inertial,Digital Interface,I2C,n/a,String,Datasheet,Gravity-I2C 4-pin plus broken-out header. UART and HID-over-I2C selectable via PS1/PS2.
DFRobot SEN0253,Sensor - Inertial,Deployment Status,Blocked,n/a,String,Repo-design,Right encoder occupies Arduino A4/A5 (the I2C pins). Requires rewire to D4/D7 before use_imu can be set true.
BNO055,Sensor - Inertial,Degrees of Freedom,9,count,Integer,Datasheet,"Triaxial accelerometer, gyroscope and magnetometer plus on-chip Cortex-M0+ fusion."
BNO055,Sensor - Inertial,Accelerometer Range Options,"+/-2, +/-4, +/-8, +/-16",g,String,Datasheet,Auto-set to +/-4 g in fusion modes.
BNO055,Sensor - Inertial,Accelerometer Resolution,14,bit,Integer,Datasheet,
BNO055,Sensor - Inertial,Accelerometer Sensitivity,1,LSB/mg,Real,Datasheet,All ranges.
BNO055,Sensor - Inertial,Accelerometer Zero-G Offset,80,mg,Real,Datasheet,"+/-, typical. +/-150 mg maximum over lifetime."
BNO055,Sensor - Inertial,Accelerometer Noise Density,150,ug/sqrt(Hz),Real,Datasheet,Typical; 190 max.
BNO055,Sensor - Inertial,Accelerometer Bandwidth Fusion Default,62.5,Hz,Real,Datasheet,Options 7.81 Hz to 1 kHz.
BNO055,Sensor - Inertial,Gyroscope Range Options,"+/-125, +/-250, +/-500, +/-1000, +/-2000",deg/s,String,Datasheet,Auto-set to +/-2000 deg/s in fusion modes.
BNO055,Sensor - Inertial,Gyroscope Resolution,16,bit,Integer,Datasheet,
BNO055,Sensor - Inertial,Gyroscope Sensitivity,16.0,LSB/(deg/s),Real,Datasheet,Or 900 LSB/(rad/s).
BNO055,Sensor - Inertial,Gyroscope Zero-Rate Offset,1,deg/s,Real,Datasheet,"+/-, typical. +/-3 deg/s maximum."
BNO055,Sensor - Inertial,Gyroscope Output Noise,0.1,deg/s,Real,Datasheet,RMS typical at 47 Hz bandwidth; 0.3 max. Equivalent to 0.014 deg/s/sqrt(Hz).
BNO055,Sensor - Inertial,Gyroscope Bandwidth Fusion Default,32,Hz,Real,Datasheet,Options 12-523 Hz.
BNO055,Sensor - Inertial,Magnetometer Range XY,1300,uT,Real,Datasheet,"+/-, typical."
BNO055,Sensor - Inertial,Magnetometer Range Z,2500,uT,Real,Datasheet,"+/-, typical."
BNO055,Sensor - Inertial,Magnetometer Resolution,0.3,uT,Real,Datasheet,Device resolution.
BNO055,Sensor - Inertial,Magnetometer Output Noise,0.6,uT,Real,Datasheet,Regular preset; 0.3 uT in high-accuracy preset.
BNO055,Sensor - Inertial,Heading Accuracy,2.5,deg,Real,Datasheet,"+/-, typical, in a 30 uT horizontal field at 25 degC, fully calibrated with ideal tilt compensation."
BNO055,Sensor - Inertial,Magnetometer Zero-B Offset Calibrated,2,uT,Real,Datasheet,"+/-, after fusion-mode calibration. +/-40 uT uncalibrated."
BNO055,Sensor - Inertial,Fusion Output Rate NDOF,100,Hz,Real,Datasheet,"Accelerometer and gyroscope at 100 Hz, magnetometer at 20 Hz."
BNO055,Sensor - Inertial,Magnetometer Data Rate NDOF,20,Hz,Real,Datasheet,
BNO055,Sensor - Inertial,Data Rate Tolerance,1,%,Real,Datasheet,"+/-, using the internal oscillator. An external 32 kHz crystal improves this."
BNO055,Sensor - Inertial,Quaternion Scaling,16384,LSB,Real,Datasheet,"1 unit = 2^14 LSB. Registers 0x20-0x27, 4 x int16."
BNO055,Sensor - Inertial,Euler Angle Scaling,16,LSB/deg,Real,Datasheet,Or 900 LSB/rad. Registers 0x1A-0x1F.
BNO055,Sensor - Inertial,Acceleration Scaling,100,LSB/(m/s^2),Real,Datasheet,Or 1 LSB/mg. Registers 0x08-0x0D.
BNO055,Sensor - Inertial,Angular Rate Scaling,16,LSB/(deg/s),Real,Datasheet,Or 900 LSB/(rad/s). Registers 0x14-0x19.
BNO055,Sensor - Inertial,Magnetic Field Scaling,16,LSB/uT,Real,Datasheet,Registers 0x0E-0x13.
BNO055,Sensor - Inertial,Temperature Resolution,1,degC,Real,Datasheet,"1 LSB = 1 degC, int8, register 0x34, 1 Hz."
BNO055,Sensor - Inertial,Heading Output Range,0 to 360,deg,String,Datasheet,"Android format, clockwise increases. Roll -90 to +90; pitch +180 to -180 (clockwise DECREASES). Pick a format and document it in the ICD."
BNO055,Sensor - Inertial,Supply Voltage VDD Min,2.4,V,Real,Datasheet,Sensor supply.
BNO055,Sensor - Inertial,Supply Voltage VDD Max,3.6,V,Real,Datasheet,Sensor supply.
BNO055,Sensor - Inertial,Supply Current 9DOF at 100 Hz,12.3,mA,Real,Datasheet,"Maximum, normal mode, VDD 3 V / VDDIO 2.5 V."
BNO055,Sensor - Inertial,Supply Current Suspend,0.04,mA,Real,Datasheet,Maximum.
BNO055,Sensor - Inertial,Operating Temperature Min,-40,degC,Real,Datasheet,
BNO055,Sensor - Inertial,Operating Temperature Max,85,degC,Real,Datasheet,
BNO055,Sensor - Inertial,Start-Up Time,400,ms,Real,Datasheet,Off to CONFIG mode. POR to CONFIG is 650 ms.
BNO055,Sensor - Inertial,Mode Switch Time to Operating,7,ms,Real,Datasheet,CONFIG to any operating mode. 19 ms in the reverse direction.
BNO055,Sensor - Inertial,Shock Survival,10000,g,Real,Datasheet,For durations <= 200 us; 2000 g for <= 1 ms.
BNO055,Sensor - Inertial,I2C Address,0x28,n/a,String,Datasheet,Default; 0x29 selectable.
BNO055,Sensor - Inertial,Bandwidth at 100 Hz,2.1,kB/s,Real,Calculated,"Quaternion + linear acceleration + gyroscope + calibration status, ~21 bytes per sample."
BMP280,Sensor - Environmental,Pressure Range Min,300,hPa,Real,Datasheet,
BMP280,Sensor - Environmental,Pressure Range Max,1100,hPa,Real,Datasheet,
BMP280,Sensor - Environmental,Pressure Relative Accuracy,0.12,hPa,Real,Datasheet,+/-. Equivalent to about +/-1 m of altitude - the trustworthy figure for detecting floor changes or ramps.
BMP280,Sensor - Environmental,Pressure Absolute Accuracy,1,hPa,Real,Datasheet,+/-. Equivalent to about +/-8.33 m of altitude - do not use for navigation.
BMP280,Sensor - Environmental,Altitude Accuracy Relative,1,m,Real,Datasheet,"+/-, derived from relative pressure accuracy."
BMP280,Sensor - Environmental,Altitude Accuracy Absolute,8.33,m,Real,Datasheet,"+/-, derived from absolute pressure accuracy. Also requires a sea-level pressure reference."
BMP280,Sensor - Environmental,Temperature Range Min,0,degC,Real,Datasheet,"Measurement range, narrower than the BNO055."
BMP280,Sensor - Environmental,Temperature Range Max,65,degC,Real,Datasheet,Measurement range.
BMP280,Sensor - Environmental,Temperature Resolution,0.01,degC,Real,Datasheet,
BMP280,Sensor - Environmental,Supply Current,0.01,mA,Real,Estimated,Not stated separately by DFRobot; typically single-digit microamps at 1 Hz for this Bosch part. Negligible vs the BNO055.
BMP280,Sensor - Environmental,I2C Address,0x76,n/a,String,Datasheet,
BMP280,Sensor - Environmental,Pressure Output Unit,Pa,n/a,String,Datasheet,"The DFRobot library returns pascals, NOT hectopascals."
BMP280,Sensor - Environmental,Altitude Output Type,Calculated,n/a,String,Datasheet,"DFRobot states explicitly that altitude is calculated from temperature and pressure, not measured, and carries error."
RPLidar A1,Sensor - Ranging,Manufacturer Part Number,A1M8,n/a,String,Datasheet,Slamtec RPLIDAR A1.
RPLidar A1,Sensor - Ranging,Measurement Principle,Laser triangulation,n/a,String,Datasheet,
RPLidar A1,Sensor - Ranging,Distance Range Min,0.15,m,Real,Datasheet,
RPLidar A1,Sensor - Ranging,Distance Range Max,12,m,Real,Conflict,12 m applies to A1M8-R6 and later. A1M8-R4 and earlier are 6 m. CONFIRM THE HARDWARE REVISION.
RPLidar A1,Sensor - Ranging,Angular Range,360,deg,Real,Datasheet,Full omnidirectional scan.
RPLidar A1,Sensor - Ranging,Distance Resolution Below 1.5 m,0.5,mm,Real,Datasheet,<0.5 mm.
RPLidar A1,Sensor - Ranging,Distance Resolution All Ranges,1,%,Real,Datasheet,<1% of the measured distance. Triangulation resolution degrades with range.
RPLidar A1,Sensor - Ranging,Angular Resolution,1,deg,Real,Datasheet,<=1 deg at the 5.5 Hz scan rate.
RPLidar A1,Sensor - Ranging,Sample Duration,0.5,ms,Real,Datasheet,
RPLidar A1,Sensor - Ranging,Sample Rate,8000,Hz,Real,Conflict,8000 Hz for A1M8-R6. The rev 1.0 datasheet states >=2000 Hz. Revision-dependent.
RPLidar A1,Sensor - Ranging,Scan Rate Min,1,Hz,Real,Datasheet,
RPLidar A1,Sensor - Ranging,Scan Rate Typical,5.5,Hz,Real,Datasheet,When taking 360 samples per scan.
RPLidar A1,Sensor - Ranging,Scan Rate Max,10,Hz,Real,Datasheet,Requires ~9 V to the motor separately.
RPLidar A1,Sensor - Ranging,Scan Rate Observed,6.75,Hz,Real,Repo-design,5.5-8 Hz measured on the robot; midpoint used. Mock source publishes at 10 Hz.
RPLidar A1,Sensor - Ranging,Laser Wavelength,785,nm,Real,Datasheet,"Infrared band, 775-795 nm."
RPLidar A1,Sensor - Ranging,Laser Power Typical,3,mW,Real,Datasheet,Peak power; 5 mW maximum.
RPLidar A1,Sensor - Ranging,Laser Safety Class,Class 1,n/a,String,Datasheet,Safe for humans and pets - relevant given the robot's subject.
RPLidar A1,Sensor - Ranging,Scanner Supply Voltage,5,V,Real,Datasheet,4.9-5.5 V. Exceeding the max may damage the core.
RPLidar A1,Sensor - Ranging,Scanner Voltage Ripple Max,50,mV,Real,Datasheet,High ripple may cause core failure.
RPLidar A1,Sensor - Ranging,Scanner Start Current,500,mA,Real,Datasheet,Typical; 600 mA max. Underpower causes startup failure.
RPLidar A1,Sensor - Ranging,Scanner Current Working,300,mA,Real,Datasheet,Typical at 5 V; 350 mA max.
RPLidar A1,Sensor - Ranging,Scanner Current Sleep,80,mA,Real,Datasheet,Typical at 5 V.
RPLidar A1,Sensor - Ranging,Motor Supply Voltage Min,5,V,Real,Datasheet,
RPLidar A1,Sensor - Ranging,Motor Supply Voltage Max,10,V,Real,Datasheet,Adjust according to desired speed.
RPLidar A1,Sensor - Ranging,Motor Current,100,mA,Real,Datasheet,Typical at 5 V.
RPLidar A1,Sensor - Ranging,Total Power Working,2.0,W,Real,Calculated,(300 mA scanner + 100 mA motor) x 5 V.
RPLidar A1,Sensor - Ranging,Mass,190,g,Real,Datasheet,Heaviest single sensor in the suite.
RPLidar A1,Sensor - Ranging,Operating Temperature Min,0,degC,Real,Datasheet,
RPLidar A1,Sensor - Ranging,Operating Temperature Max,45,degC,Real,Datasheet,Narrower than the Pi Camera 3 at the top end.
RPLidar A1,Sensor - Ranging,Host Interface,USB-UART,n/a,String,Datasheet,Via a Silicon Labs CP2102 bridge on the development kit.
RPLidar A1,Sensor - Ranging,Serial Baud Rate,115200,baud,Integer,Repo-config,"lidar.yaml, rplidar_node.serial_baudrate. 8N1."
RPLidar A1,Sensor - Ranging,Scan Mode,Standard,n/a,String,Repo-config,"lidar.yaml, rplidar_node.scan_mode."
RPLidar A1,Sensor - Ranging,Distance Output Unit,mm,n/a,String,Datasheet,"Each sample carries distance (mm), heading (deg), quality and a start flag."
RPLidar A1,Sensor - Ranging,Heading Output Unit,deg,n/a,String,Datasheet,
Jetson Orin Nano Developer Kit,Compute,Module,Jetson Orin Nano 8GB,n/a,String,Datasheet,
Jetson Orin Nano Developer Kit,Compute,AI Performance,40,TOPS,Real,Datasheet,67 TOPS in Super mode after the software update.
Jetson Orin Nano Developer Kit,Compute,CPU,6-core Arm Cortex-A78AE v8.2,n/a,String,Datasheet,"1.5 MB L2 + 4 MB L3, up to 1.5 GHz."
Jetson Orin Nano Developer Kit,Compute,GPU CUDA Cores,1024,count,Integer,Datasheet,"NVIDIA Ampere architecture, plus 32 tensor cores."
Jetson Orin Nano Developer Kit,Compute,Memory,8,GB,Real,Datasheet,128-bit LPDDR5 at 68 GB/s.
Jetson Orin Nano Developer Kit,Compute,Length,100,mm,Real,Datasheet,
Jetson Orin Nano Developer Kit,Compute,Width,79,mm,Real,Datasheet,
Jetson Orin Nano Developer Kit,Compute,Height,21,mm,Real,Datasheet,"Includes feet, carrier board, module and thermal solution."
Jetson Orin Nano Developer Kit,Compute,Mass,Not published,n/a,String,Unpublished,NVIDIA does not publish devkit mass. WEIGH IT - it is a significant contributor to the robot's mass budget.
Jetson Orin Nano Developer Kit,Compute,Power Mode Min,7,W,Real,Datasheet,Configurable power mode.
Jetson Orin Nano Developer Kit,Compute,Power Mode Max,15,W,Real,Datasheet,Configurable power mode. Super mode raises this to 25 W.
Jetson Orin Nano Developer Kit,Compute,DC Input Voltage Min,9,V,Real,Repo-design,BillieBot feeds the barrel jack directly from the 3S pack. Verify against the carrier board spec - NVIDIA ships a 19 V adapter.
Jetson Orin Nano Developer Kit,Compute,DC Input Voltage Max,19,V,Real,Repo-design,See DC Input Voltage Min note.
Jetson Orin Nano Developer Kit,Compute,Bulk Capacitance at Feed,1000,uF,Real,Repo-design,Minimum bulk capacitor specified at the Jetson power feed.
Jetson Orin Nano Developer Kit,Compute,USB 3.2 Gen2 Port Count,4,count,Integer,Datasheet,Type-A. Plus one Type-C for UFP.
Jetson Orin Nano Developer Kit,Compute,CSI Camera Connector Count,2,count,Integer,Datasheet,22-pin MIPI CSI-2. A 15-to-22-pin cable is needed for Pi-style cameras.
Jetson Orin Nano Developer Kit,Compute,Allocated Role,Primary compute,n/a,String,Repo-design,"Nav2, OAK-D detection, EKF, SLAM/AMCL, mission controller."
Raspberry Pi 5,Compute,SoC,Broadcom BCM2712,n/a,String,Datasheet,Quad-core Arm Cortex-A76 at 2.4 GHz.
Raspberry Pi 5,Compute,Length,85,mm,Real,Datasheet,Standard Raspberry Pi form factor.
Raspberry Pi 5,Compute,Width,56,mm,Real,Datasheet,
Raspberry Pi 5,Compute,Height,18,mm,Real,Estimated,Board plus tallest connectors; excludes any active cooler.
Raspberry Pi 5,Compute,Mass,46,g,Real,Estimated,Widely cited retailer figure; Raspberry Pi does not publish it prominently. Excludes cooler and cables.
Raspberry Pi 5,Compute,Supply Voltage,5,V,Real,Datasheet,USB-C Power Delivery. Official supply is 5.1 V.
Raspberry Pi 5,Compute,Recommended Supply Current,5,A,Real,Datasheet,5 V / 5 A (27 W). With a 3 A supply the Pi limits total USB current to 600 mA instead of 1.6 A.
Raspberry Pi 5,Compute,Bare-Board Active Current Typical,0.8,A,Real,Datasheet,"Raspberry Pi documented figure, excluding USB peripherals."
Raspberry Pi 5,Compute,Power Idle,3.0,W,Real,Estimated,"Headless, WLAN only. Community bench measurement."
Raspberry Pi 5,Compute,Power Full Load,11.6,W,Real,Estimated,"Sustained stress test, 8 GB model. Community bench measurement."
Raspberry Pi 5,Compute,USB Peripheral Current Budget,1.6,A,Real,Datasheet,"Total across USB ports, when a 5 A PD supply is detected."
Raspberry Pi 5,Compute,Power Regulator,GeeekPi PD 5 V / 5 A,n/a,String,Repo-design,Fed from the fCmp 10 A branch of the distribution bus.
Raspberry Pi 5,Compute,Allocated Role,Secondary compute,n/a,String,Repo-design,"Thermal, NoIR, audio, cognition."
Arduino Nano V3,Compute,Microcontroller,ATmega328P,n/a,String,Datasheet,AVR architecture.
Arduino Nano V3,Compute,Clock Speed,16,MHz,Real,Datasheet,
Arduino Nano V3,Compute,Flash Memory,32,kB,Real,Datasheet,2 kB used by the bootloader.
Arduino Nano V3,Compute,SRAM,2,kB,Real,Datasheet,
Arduino Nano V3,Compute,EEPROM,1,kB,Real,Datasheet,
Arduino Nano V3,Compute,Operating Voltage,5,V,Real,Datasheet,Logic level.
Arduino Nano V3,Compute,Input Voltage Recommended Min,7,V,Real,Datasheet,Via VIN.
Arduino Nano V3,Compute,Input Voltage Recommended Max,12,V,Real,Datasheet,Via VIN. Absolute limits 6-20 V.
Arduino Nano V3,Compute,Current Consumption,19,mA,Real,Datasheet,Board typical.
Arduino Nano V3,Compute,Power,95,mW,Real,Calculated,19 mA x 5 V.
Arduino Nano V3,Compute,DC Current per IO Pin,40,mA,Real,Datasheet,Maximum.
Arduino Nano V3,Compute,Length,45,mm,Real,Datasheet,
Arduino Nano V3,Compute,Width,18,mm,Real,Datasheet,
Arduino Nano V3,Compute,Mass,7,g,Real,Datasheet,
Arduino Nano V3,Compute,ADC Resolution,10,bit,Integer,Datasheet,0-1023 counts over 0-5 V. Used for the battery divider tap.
Arduino Nano V3,Compute,Serial Baud Rate,57600,baud,Integer,Repo-config,base_driver.yaml. Design doc said 115200 but firmware uses 57600.
Arduino Nano V3,Compute,PID Loop Rate,30,Hz,Real,Repo-config,"base_driver.yaml, pid_rate_hz."
Arduino Nano V3,Compute,Command Timeout,0.5,s,Real,Repo-config,"base_driver.yaml, cmd_timeout_sec. Watchdog was tightened from 2000 ms to 500 ms."
Arduino Nano V3,Compute,Allocated Role,Motor controller,n/a,String,Repo-design,"Encoder counting, PID velocity loop, PWM generation, battery ADC, heartbeat watchdog."
JGA25-371 Gearmotor,Actuator - Drive,Quantity,2,count,Integer,Repo-design,Left and right of the differential drive.
JGA25-371 Gearmotor,Actuator - Drive,Rated Voltage,12,V,Real,Datasheet,
JGA25-371 Gearmotor,Actuator - Drive,Operating Voltage Min,6,V,Real,Datasheet,
JGA25-371 Gearmotor,Actuator - Drive,Operating Voltage Max,12,V,Real,Datasheet,
JGA25-371 Gearmotor,Actuator - Drive,No-Load Speed,126,rpm,Real,Datasheet,"At 12 V, 34:1 variant. BillieBot design docs quote 130 rpm."
JGA25-371 Gearmotor,Actuator - Drive,Gear Ratio,34,dimensionless,Real,Datasheet,"34:1 reduction, metal gears."
JGA25-371 Gearmotor,Actuator - Drive,Rated Torque,4.2,kgf.cm,Real,Datasheet,Approximately 0.41 N.m.
JGA25-371 Gearmotor,Actuator - Drive,Stall Current,1.0,A,Real,Conflict,Vendor datasheet states 1000 mA. BillieBot design docs estimate 1.2-2 A each. MEASURE before sizing the motor fuse.
JGA25-371 Gearmotor,Actuator - Drive,Mass,86,g,Real,Datasheet,Some vendors quote 100 g gross.
JGA25-371 Gearmotor,Actuator - Drive,Encoder Type,Quadrature Hall,n/a,String,Datasheet,Integrated on the motor shaft.
JGA25-371 Gearmotor,Actuator - Drive,Encoder Resolution at Motor Shaft,12,count/rev,Integer,Datasheet,Counts per revolution before the gearbox.
JGA25-371 Gearmotor,Actuator - Drive,Encoder Ticks per Output Revolution,2000,count/rev,Real,Repo-config,"base_driver.yaml. A CALIBRATION value, not a datasheet value - reference alternatives were 1974.7 and 1779.0. Calibrate by driving 1 m straight."
JGA25-371 Gearmotor,Actuator - Drive,Motor Branch Peak Power,40,W,Real,Repo-design,"Stall estimate for both motors, used to size the 10 A motor fuse."
Drive Wheel,Actuator - Drive,Quantity,2,count,Integer,Repo-design,
Drive Wheel,Actuator - Drive,Diameter,68,mm,Real,Repo-design,Rubber tyre.
Drive Wheel,Actuator - Drive,Radius Configured,0.034,m,Real,Repo-config,"base_driver.yaml, wheel_radius. MEASURE THE TYRE UNDER LOAD - this directly scales odometry."
Drive Wheel,Actuator - Drive,Wheel Separation,0.298,m,Real,Repo-config,base_driver.yaml. Measure centre-to-centre of the tyre contact patches.
Drive Wheel,Actuator - Drive,Max Linear Speed,0.46,m/s,Real,Calculated,At 130 rpm with a 68 mm wheel.
L298N H-Bridge,Actuator - Drive,Logic Supply Voltage,5,V,Real,Datasheet,
L298N H-Bridge,Actuator - Drive,Motor Supply Voltage Min,5,V,Real,Datasheet,Module level. The bare IC supports up to 46 V.
L298N H-Bridge,Actuator - Drive,Motor Supply Voltage Max,35,V,Real,Datasheet,Module level. Remove the on-board 5 V regulator jumper above 12 V.
L298N H-Bridge,Actuator - Drive,Continuous Current per Channel,2,A,Real,Datasheet,
L298N H-Bridge,Actuator - Drive,Peak Current per Channel,3,A,Real,Datasheet,2.5-3 A depending on vendor. No built-in current limiting.
L298N H-Bridge,Actuator - Drive,Forward Voltage Drop,2,V,Real,Datasheet,Approximately 1.8-2 V. At a 12 V supply the motors see roughly 10 V.
L298N H-Bridge,Actuator - Drive,Max Power Dissipation,25,W,Real,Datasheet,"Total, with the heatsink fitted."
L298N H-Bridge,Actuator - Drive,Logic Current,36,mA,Real,Datasheet,"Maximum, 0-36 mA range."
L298N H-Bridge,Actuator - Drive,Channel Count,2,count,Integer,Datasheet,Dual full-bridge.
L298N H-Bridge,Actuator - Drive,Control Interface,PWM + DIR,n/a,String,Repo-design,PWM 0-255 on ENA/ENB plus direction on IN1-IN4.
L298N H-Bridge,Actuator - Drive,Design Note,Bring-up driver only,n/a,String,Repo-design,Inefficient and heat-prone. Upgrade to a MOSFET driver with current limiting before extended operation.
MAX98357A Amplifier,Audio Output,Output Power,3.2,W,Real,Datasheet,Into 4 ohm at 5 V supply.
MAX98357A Amplifier,Audio Output,Supply Voltage Min,2.5,V,Real,Datasheet,
MAX98357A Amplifier,Audio Output,Supply Voltage Max,5.5,V,Real,Datasheet,
MAX98357A Amplifier,Audio Output,Digital Interface,I2S,n/a,String,Datasheet,Driven from the Raspberry Pi 5 GPIO.
Speaker,Audio Output,Rated Power,3,W,Real,Repo-design,Driven by the MAX98357A. Status chimes only in the MVP.
Speaker,Audio Output,Max Volume Setting,0.5,dimensionless,Real,Repo-config,"audio.yaml, speaker_node.max_volume."
Speaker,Audio Output,Min Playback Interval,10,s,Real,Repo-config,"audio.yaml, speaker_node.min_interval_sec."
Battery Pack,Power,Chemistry,LiPo,n/a,String,Repo-design,Venom brand.
Battery Pack,Power,Cell Count,3,count,Integer,Repo-config,"base_driver.yaml, battery_cell_count. 3S configuration."
Battery Pack,Power,Nominal Voltage,11.1,V,Real,Repo-design,3 cells at 3.7 V nominal.
Battery Pack,Power,Capacity,4,Ah,Real,Repo-design,
Battery Pack,Power,Energy,44.4,Wh,Real,Calculated,11.1 V x 4 Ah.
Battery Pack,Power,Discharge Rating,20,C,Real,Repo-design,80 A continuous capability - install the main fuse close to the positive terminal.
Battery Pack,Power,Low Voltage Threshold,10.5,V,Real,Repo-config,base_driver.yaml. 3.5 V/cell. Triggers the LOW health enum.
Battery Pack,Power,Critical Voltage Threshold,9.9,V,Real,Repo-config,base_driver.yaml. 3.3 V/cell. Triggers SAFE mode.
Battery Pack,Power,Mass,300,g,Real,Estimated,Typical for a 3S 4 Ah 20C pack. WEIGH THE ACTUAL PACK - it is likely the single heaviest component.
Battery Voltage Sense,Power,Divider Ratio,6.0,dimensionless,Real,Repo-config,base_driver.yaml. V = adc x 5.0 / 1023 x ratio. Verify actual resistor values R1/(R1+R2).
Battery Voltage Sense,Power,ADC Pin,0,count,Integer,Repo-config,"base_driver.yaml, battery_pin - Arduino A0."
Battery Voltage Sense,Power,Sample Rate,1,Hz,Real,Repo-config,"base_driver.yaml, battery_read_interval_sec."
Power Distribution,Power,Main Fuse Rating,20,A,Real,Repo-design,"Series with the master switch, feeding the distribution bus."
Power Distribution,Power,Motor Branch Fuse Rating,10,A,Real,Repo-design,Feeds the L298N VMOT. Electrically separated from the compute rails.
Power Distribution,Power,Compute Branch Fuse Rating,10,A,Real,Repo-design,Feeds the Jetson barrel jack and the Pi 5 regulator.
Power Distribution,Power,Accessory Branch Fuse Rating,5,A,Real,Repo-design,"Feeds the 5 V buck for the Arduino, amplifier, IR LED and fan."
Power Distribution,Power,Accessory Regulator,GS2678 buck 5 V,n/a,String,Repo-design,Accessory rail.
Power Distribution,Power,Reserved Actuator Regulator,Pololu D24V90F5 5 V / 9 A,n/a,String,Repo-design,Reserved and fused for a future treat dispenser.
Power Distribution,Power,Topology,Star,n/a,String,Repo-design,"Common ground at the distribution bus only, so motor current does not flow through signal references."
